name,population
Florida,22416077
33928,31926
33930,1540
33931,8350
33935,23186
33936,27967
33944,208
33946,3090
33947,10447
33948,18696
33950,24955
33952,35231
33953,8318
33954,11193
33955,12399
33956,3405
33957,6418
33960,681
33965,4836
33966,12513
33967,28341
33971,30790
33972,17285
33973,14392
33974,19927
33976,20277
33980,13120
33981,15622
33982,13006
33983,18471
33990,34713
33991,27725
33993,35580
34101,0
34102,11179
34103,11299
34104,26408
34105,15441
34108,16237
34109,27273
34110,25630
34112,27193
34113,26056
34114,23559
34116,35591
34117,19923
34119,36807
34120,42345
34134,16475
34135,48252
34137,68
34138,808
34139,243
34140,104
34141,169
34142,35149
34145,16205
34201,3733
34202,27197
34203,40618
34205,31946
34207,34081
34208,44004
34209,33224
34210,17682
34211,24980
34212,25536
34215,707
34216,874
34217,3676
34219,33296
34221,56208
34222,14819
34223,19884
34224,15536
34228,7539
34229,7495
34231,32404
34232,34013
34233,19123
34234,22986
34235,15146
34236,14446
34237,17367
34238,23821
34239,14635
34240,18774
34241,16408
34242,7529
34243,32773
34250,617
34251,5956
34266,29863
34267,44
34268,466
34269,5013
34275,22436
34285,18677
34286,22534
34287,25929
34288,18231
34289,4441
34291,8630
34292,17586
34293,50278
34420,19465
34428,10163
34429,8727
34431,9785
34432,13587
34433,8411
34434,11074
34436,8205
34442,17281
34445,42
34446,19102
34448,10817
34449,3565
34450,11532
34452,13734
34453,10621
34461,13377
34465,18879
34470,22443
34471,28342
34472,35851
34473,26813
34474,20258
34475,14301
34476,28997
34479,13264
34480,23517
34481,26782
34482,22807
34484,5050
34487,0
34488,11447
34491,33318
34498,675
34601,24115
34602,11088
34604,13642
34606,28668
34607,9496
34608,36658
34609,47257
34610,16995
34613,19337
34614,10935
34637,13049
34638,37644
34639,30831
34652,27444
34653,35945
34654,24355
34655,49964
34661,386
34667,30689
34668,49442
34669,14618
34677,22762
34679,141
34681,1284
34683,33911
34684,27029
34685,18132
34688,8522
34689,27324
34690,12498
34691,21232
34695,18098
34698,38171
34705,3014
34711,70317
34714,28200
34715,26810
34729,0
34731,12196
34734,3940
34736,28001
34737,4199
34739,1176
34741,58716
34743,40030
34744,66582
34746,60595
34747,30859
34748,48095
34753,7985
34756,4876
34758,46768
34759,44568
34760,740
34761,47327
34762,1226
34769,30204
34771,35257
34772,35390
34773,5816
34785,21568
34786,42358
34787,101441
34788,22137
34797,1163
34945,6321
34946,6852
34947,12804
34949,7470
34950,17461
34951,17148
34952,42655
34953,86875
34956,9630
34957,23462
34972,20066
34974,23975
34981,5031
34982,31143
34983,49001
34984,20151
34986,30715
34987,21727
34990,30592
34994,18737
34996,10653
34997,47075
