"Table 5.1  Age-Adjusted Incidence Rates (1) by County, Florida, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Cancers,,,,,,,Lung & Bronchus,,,,,,,Prostate,,,,,,,Breast,,,,,,Colorectal,,,,,,,,Bladder,,,,,Head & Neck,,,,,,,Non-Hodgkin,,,,,Melanoma,,,,,,,Ovary,,,,,Cervix,,,,,
,Rate,CI,,,,,,Rate,,CI,,,,,Rate,CI,,,,,,Rate,,,CI,,,Rate,,,CI,,,,,Rate,CI,,,,Rate,,,CI,,,,Rate,,CI,,,Rate,,CI,,,,,Rate,CI,,,,Rate,,CI,,,
Holmes,376.6,305.6,,463.0,,,,69.3,,42.0,,,113.4,,92.5,48.7,,,170.1,,,^,,,^,^,,^,,,^,,^,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Indian River,566.3,536.6,,598.0,,,,54.3,,47.1,,,63.4,,112.2,97.1,,,131.1,,,127.3,,,106.5,152.7,,40.0,,,31.9,,50.4,,,21.9,17.2,28.6,,,27.0,,,20.5,,35.7,,30.4,,23.7,39.3,,75.3,,64.0,,,89.4,,13.3,8.0,,23.8,,12.7,,5.9,,25.6,
Jackson,434.7,386.3,,489.2,,,,55.9,,39.8,,,78.7,,67.2,43.3,,,104.3,,,112.3,,,74.8,165.7,,44.3,,,30.0,,65.3,,,22.3,12.9,38.6,,,27.2,,,16.7,,44.6,,21.9,,11.6,39.7,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Jefferson,540.0,448.3,,653.4,,,,78.9,,49.0,,,133.7,,108.9,59.2,,,215.0,,,150.4,,,77.5,283.3,,51.8,,,25.8,,105.2,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Lafayette,337.1,236.7,,481.8,,,,^,,^,,,^,,^,^,,,^,,,^,,,^,^,,^,,,^,,^,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Lake,519.2,500.7,,538.3,,,,53.0,,47.8,,,58.9,,116.6,105.4,,,129.2,,,139.2,,,125.2,154.6,,36.6,,,31.7,,42.3,,,18.8,15.8,22.5,,,21.0,,,17.2,,25.6,,23.7,,20.0,28.1,,39.7,,34.1,,,46.5,,13.4,9.1,,19.4,,6.8,,3.8,,11.7,
Lee,452.1,439.9,,464.6,,,,43.5,,40.3,,,47.0,,96.1,89.1,,,103.8,,,126.7,,,117.1,137.1,,31.9,,,28.6,,35.7,,,18.0,16.1,20.4,,,18.6,,,16.2,,21.3,,22.4,,19.7,25.5,,42.6,,38.8,,,46.9,,8.7,6.3,,11.9,,12.3,,8.8,,16.9,
Leon,523.6,498.3,,550.1,,,,59.0,,51.0,,,68.1,,179.3,158.4,,,202.7,,,159.4,,,140.1,180.9,,32.3,,,26.2,,39.7,,,15.5,11.5,20.7,,,15.9,,,11.8,,21.3,,24.6,,19.2,31.2,,23.3,,17.3,,,31.6,,18.7,12.5,,27.5,,11.8,,6.5,,20.0,
Levy,494.4,441.8,,553.8,,,,96.2,,75.7,,,123.5,,114.6,84.7,,,159.1,,,120.4,,,84.1,171.9,,29.8,,,18.7,,48.7,,,12.9,6.4,27.9,,,26.2,,,15.4,,45.1,,16.8,,8.7,33.3,,32.8,,18.8,,,56.9,,^,^,,^,,^,,^,,^,
Liberty,476.4,351.3,,644.9,,,,^,,^,,,^,,^,^,,,^,,,^,,,^,^,,^,,,^,,^,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Madison,563.2,473.9,,669.7,,,,55.0,,32.1,,,97.5,,184.0,116.2,,,289.6,,,159.8,,,95.8,265.6,,65.7,,,36.1,,116.3,,,^,^,^,,,^,,,^,,^,,32.0,,14.8,70.4,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Manatee,477.3,460.2,,495.1,,,,47.5,,42.9,,,52.7,,109.1,99.0,,,120.6,,,137.4,,,123.6,152.7,,33.0,,,28.3,,38.5,,,17.2,14.6,20.6,,,18.4,,,15.2,,22.3,,24.7,,21.0,29.2,,36.1,,31.4,,,41.6,,12.4,8.5,,18.0,,7.0,,4.2,,11.5,
